,buy,play,template,ratio
0,0.0,0.0,2 kinds (s),
1,0.0,0.0,photoshop,
2,0.0,1.0,hugger,0.0
3,0.0,0.0,yehaw,
4,0.0,0.0,random,
5,0.0,0.0,left f,
6,0.0,0.0,imus,
7,0.0,5.0,lally,0.0
8,0.0,0.0,shirtoff,
9,0.0,0.0,queep,
10,0.0,0.0,u mind?,
11,0.0,0.0,goodmicks,
12,0.0,0.0,rottne,
13,0.0,0.0,paranoya,
14,0.0,0.0,wow!,
15,0.0,2.0,playlist_bikini,0.0
16,0.0,0.0,woot,
17,0.0,0.0,cracy,
18,0.0,10.0,p u,0.0
19,0.0,0.0,allabout,
20,0.0,0.0,mashup 8,
21,0.0,0.0,bup bup bah,
22,0.0,0.0,aw sum,
23,0.0,0.0,mashup3,
24,0.0,0.0,mashup2,
25,0.0,0.0,mashup1,
26,0.0,0.0,air,
27,0.0,0.0,gigi,
28,0.0,0.0,location,
29,0.0,3.0,attention,0.0
30,0.0,0.0,bomb (s),
31,0.0,0.0,mend,
32,0.0,0.0,covered,
33,0.0,0.0,sorry,
34,0.0,0.0,wompa,
35,0.0,0.0,hashy,
36,0.0,2.0,wa wa,0.0
37,0.0,0.0,Homer,
38,0.0,0.0,snupe,
39,0.0,0.0,numscull,
40,0.0,0.0,clisp,
41,0.0,0.0,myth,
42,0.0,0.0,heern,
43,0.0,0.0,HUGEipod,
44,0.0,0.0,abreact,
45,0.0,1.0,viewz,0.0
46,0.0,0.0,quest,
47,0.0,0.0,vomit,
48,0.0,0.0,guide,
49,0.0,0.0,nasty,
50,0.0,0.0,nada test,
51,0.0,0.0,cage,
52,0.0,0.0,pooot,
53,0.0,0.0,voip,
54,0.0,0.0,cool,
55,0.0,0.0,hoe-dn,
56,0.0,0.0,reluct,
57,0.0,8.0,ooga,0.0
58,0.0,0.0,poo,
59,0.0,0.0,goldarn,
60,0.0,0.0,bright,
61,0.0,0.0,eq you,
62,0.0,0.0,less.bs,
63,0.0,0.0,playlist_sippy,
64,0.0,0.0,a grown (s),
65,0.0,0.0,wlcme,
66,0.0,0.0,NvrNO,
67,0.0,0.0,b.o.t.b.,
68,0.0,0.0,aneuch,
69,0.0,0.0,tea time,
70,0.0,0.0,back 2,
71,0.0,1.0,howyaD,0.0
72,0.0,0.0,original (s),
73,0.0,0.0,tolerate,
74,0.0,0.0,ortzi,
75,0.0,0.0,classifried,
76,0.0,0.0,forgot,
77,1.0,7.0,tatoo,0.14285714285714285
78,0.0,1.0,qwear,0.0
79,0.0,0.0,sport,
80,0.0,0.0,er,
81,0.0,0.0,lyve,
82,0.0,0.0,tricker,
83,0.0,0.0,collect,
84,0.0,5.0,announcer,0.0
85,0.0,0.0,Bipod,
86,0.0,0.0,reality (s),
87,0.0,0.0,soccermom,
88,0.0,0.0,research,
89,0.0,0.0,only 1,
90,0.0,0.0,ttrump,
91,0.0,0.0,fav (s),
92,0.0,0.0,rb,
93,0.0,0.0,ithink,
94,0.0,1.0,eluin,0.0
95,0.0,0.0,math,
96,0.0,0.0,wompa short,
97,0.0,0.0,clover,
98,0.0,0.0,fun yet,
99,0.0,0.0,smatter,
100,0.0,0.0,hash,
101,0.0,0.0,hipay dj,
102,0.0,0.0,ohello,
103,0.0,0.0,rub,
104,0.0,0.0,riiip,
105,0.0,0.0,sipper,
106,0.0,0.0,Alig,
107,0.0,0.0,zeep,
108,0.0,0.0,like it,
109,0.0,0.0,stutz,
110,0.0,0.0,2choices,
111,0.0,0.0,bs,
112,0.0,0.0,rup,
113,0.0,0.0,payalla,
114,0.0,0.0,thetop,
115,0.0,0.0,manu,
116,0.0,0.0,shrivled,
117,0.0,0.0,yup,
118,0.0,0.0,changed,
119,0.0,0.0,old time,
120,0.0,0.0,david,
121,0.0,0.0,for est,
122,0.0,0.0,heck,
123,0.0,0.0,hometown (s),
124,0.0,0.0,tweet,
125,0.0,0.0,grrrr8t,
126,0.0,0.0,approve,
127,0.0,0.0,think,
128,0.0,0.0,road,
129,0.0,0.0,duhrock,
130,0.0,0.0,duka,
131,0.0,1.0,prepared,0.0
132,0.0,0.0,parking,
133,0.0,0.0,pow,
134,0.0,0.0,snooky,
135,0.0,1.0,revol,0.0
136,0.0,0.0,hardy,
137,0.0,0.0,homer work,
138,0.0,0.0,plonk,
139,0.0,0.0,cooee,
140,0.0,0.0,freakon,
141,0.0,0.0,guppy,
142,0.0,0.0,ether,
143,0.0,0.0,braindam,
144,0.0,0.0,mental,
145,0.0,0.0,stewy,
146,0.0,0.0,unpile,
147,0.0,0.0,love it,
148,0.0,0.0,sock,
149,0.0,0.0,binged,
150,0.0,0.0,tutor,
151,0.0,0.0,one (s),
152,0.0,0.0,F.A,
153,0.0,0.0,genuine (s),
154,0.0,0.0,rump,
155,0.0,0.0,newsfl,
156,0.0,0.0,recruited,
157,0.0,0.0,hApPpEn,
158,0.0,1.0,more,0.0
159,0.0,0.0,terty,
160,0.0,0.0,rockyourself,
161,0.0,0.0,italic,
162,0.0,0.0,leesa,
163,0.0,0.0,tune-out,
164,0.0,0.0,cyborf,
165,0.0,0.0,u in?,
166,0.0,0.0,playlist_carbs,
167,2.0,3.0,hard plc,0.66666666666666663
168,0.0,0.0,mashup 5,
169,0.0,0.0,hiccup,
170,0.0,0.0,cellball,
171,0.0,0.0,real (s),
172,0.0,0.0,lwop,
173,0.0,0.0,nocookin,
174,0.0,0.0,teet,
175,0.0,0.0,betcha,
176,0.0,0.0,plumpt,
177,0.0,0.0,mashup 9,
178,0.0,0.0,so?,
179,0.0,0.0,sukur,
180,0.0,0.0,mashup 4,
181,0.0,0.0,gadgets,
182,0.0,0.0,HO no!,
183,0.0,0.0,join,
184,0.0,0.0,schnit,
185,0.0,0.0,solid,
186,0.0,0.0,decades,
187,0.0,0.0,blotto,
188,0.0,0.0,custom (s),
189,0.0,0.0,sucks,
190,0.0,0.0,all here,
191,0.0,2.0,alig,0.0
192,0.0,0.0,mashup 7,
193,0.0,0.0,clearlie,
194,0.0,0.0,crums,
195,0.0,0.0,vinka,
196,0.0,0.0,restr,
197,0.0,0.0,uyui,
198,0.0,0.0,oy radio,
199,0.0,0.0,chasedy,
200,0.0,0.0,friendly (s),
201,0.0,0.0,hooge,
202,0.0,0.0,comodore,
203,0.0,0.0,salugi,
204,0.0,0.0,americas (s),
205,0.0,0.0,hotcha,
206,0.0,0.0,I like,
207,0.0,0.0,like_ipod,
208,0.0,2.0,allabout2,0.0
209,0.0,0.0,bulking,
210,0.0,0.0,home,
211,0.0,0.0,download,
212,0.0,0.0,skirt,
213,0.0,4.0,vermon,0.0
214,0.0,2.0,powwa,0.0
215,0.0,0.0,annexa,
216,0.0,0.0,pfeew,
217,0.0,0.0,peter,
218,0.0,0.0,tix,
219,0.0,0.0,farce,
220,0.0,0.0,agina,
221,0.0,0.0,boop,
222,0.0,0.0,draggle,
223,0.0,0.0,100% (s),
224,0.0,0.0,neeks,
225,0.0,0.0,fantastic (s),
226,0.0,0.0,squad,
227,0.0,0.0,thehell,
228,0.0,0.0,hoarders,
229,0.0,0.0,fabb,
230,0.0,0.0,pah,
231,0.0,0.0,inchon,
232,0.0,0.0,eee oooh,
233,0.0,0.0,rrrrrump,
234,0.0,1.0,F.A.T.,0.0
235,0.0,0.0,exactly,
236,0.0,2.0,pube,0.0
237,0.0,0.0,fLiep,
238,0.0,0.0,contoid,
239,0.0,0.0,ion,
240,0.0,0.0,wrong,
241,0.0,0.0,noggin,
242,0.0,0.0,bod,
243,0.0,0.0,hwy,
244,0.0,0.0,pat,
245,0.0,0.0,roulette,
246,0.0,0.0,nvr die,
247,0.0,0.0,idea?,
248,0.0,0.0,ms. Out,
249,0.0,1.0,rimple,0.0
250,0.0,0.0,fallen,
251,0.0,0.0,syit,
252,0.0,0.0,mashup 6,
253,0.0,0.0,zyeah,
254,0.0,0.0,outhouse,
255,0.0,0.0,eyem,
256,0.0,0.0,riff,
257,0.0,1.0,rockout,0.0
258,0.0,0.0,bodies,
259,0.0,0.0,relance,
